0
{'Normal'}
{'Water'}
"{'Water', 'Normal'}"
{'Grass'}
"{'Normal', 'Grass'}"
"{'Water', 'Grass'}"
{'Flying'}
"{'Flying', 'Normal'}"
"{'Flying', 'Water'}"
"{'Flying', 'Grass'}"
{'Psychic'}
"{'Psychic', 'Normal'}"
"{'Psychic', 'Flying'}"
"{'Psychic', 'Water'}"
"{'Psychic', 'Grass'}"
{'Bug'}
"{'Bug', 'Normal'}"
"{'Bug', 'Flying'}"
"{'Bug', 'Grass'}"
"{'Bug', 'Water'}"
"{'Psychic', 'Bug'}"
{'Fire'}
"{'Fire', 'Normal'}"
"{'Fire', 'Flying'}"
"{'Fire', 'Bug'}"
"{'Fire', 'Psychic'}"
"{'Fire', 'Water'}"
{'Ground'}
"{'Normal', 'Ground'}"
"{'Water', 'Ground'}"
"{'Fire', 'Ground'}"
"{'Flying', 'Ground'}"
"{'Bug', 'Ground'}"
"{'Psychic', 'Ground'}"
"{'Ground', 'Grass'}"
{'Poison'}
"{'Normal', 'Poison'}"
"{'Poison', 'Grass'}"
"{'Bug', 'Poison'}"
"{'Water', 'Poison'}"
"{'Flying', 'Poison'}"
"{'Fire', 'Poison'}"
"{'Ground', 'Poison'}"
{'Rock'}
"{'Rock', 'Normal'}"
"{'Water', 'Rock'}"
"{'Rock', 'Ground'}"
"{'Flying', 'Rock'}"
"{'Bug', 'Rock'}"
"{'Fire', 'Rock'}"
"{'Rock', 'Grass'}"
"{'Psychic', 'Rock'}"
"{'Rock', 'Poison'}"
{'Electric'}
"{'Electric', 'Normal'}"
"{'Electric', 'Flying'}"
"{'Bug', 'Electric'}"
"{'Electric', 'Poison'}"
"{'Electric', 'Rock'}"
"{'Electric', 'Water'}"
"{'Fire', 'Electric'}"
"{'Electric', 'Grass'}"
"{'Electric', 'Ground'}"
"{'Psychic', 'Electric'}"
{'Dragon'}
"{'Dragon', 'Normal'}"
"{'Dragon', 'Ground'}"
"{'Flying', 'Dragon'}"
"{'Dragon', 'Grass'}"
"{'Psychic', 'Dragon'}"
"{'Electric', 'Dragon'}"
"{'Fire', 'Dragon'}"
"{'Dragon', 'Poison'}"
"{'Water', 'Dragon'}"
"{'Rock', 'Dragon'}"
{'Steel'}
"{'Steel', 'Normal'}"
"{'Steel', 'Psychic'}"
"{'Steel', 'Bug'}"
"{'Steel', 'Rock'}"
"{'Steel', 'Ground'}"
"{'Steel', 'Electric'}"
"{'Steel', 'Flying'}"
"{'Steel', 'Grass'}"
"{'Steel', 'Dragon'}"
"{'Steel', 'Fire'}"
"{'Steel', 'Water'}"
{'Fighting'}
"{'Normal', 'Fighting'}"
"{'Fire', 'Fighting'}"
"{'Psychic', 'Fighting'}"
"{'Bug', 'Fighting'}"
"{'Steel', 'Fighting'}"
"{'Grass', 'Fighting'}"
"{'Water', 'Fighting'}"
"{'Dragon', 'Fighting'}"
"{'Poison', 'Fighting'}"
"{'Flying', 'Fighting'}"
"{'Rock', 'Fighting'}"
{'Dark'}
"{'Dark', 'Normal'}"
"{'Water', 'Dark'}"
"{'Dark', 'Poison'}"
"{'Dark', 'Dragon'}"
"{'Fire', 'Dark'}"
"{'Flying', 'Dark'}"
"{'Dark', 'Fighting'}"
"{'Dark', 'Grass'}"
"{'Dark', 'Ground'}"
"{'Psychic', 'Dark'}"
"{'Electric', 'Dark'}"
"{'Rock', 'Dark'}"
"{'Steel', 'Dark'}"
{'Ghost'}
"{'Ghost', 'Normal'}"
"{'Ghost', 'Grass'}"
"{'Ghost', 'Ground'}"
"{'Ghost', 'Dragon'}"
"{'Fire', 'Ghost'}"
"{'Ghost', 'Poison'}"
"{'Steel', 'Ghost'}"
"{'Ghost', 'Dark'}"
"{'Flying', 'Ghost'}"
"{'Psychic', 'Ghost'}"
"{'Ghost', 'Water'}"
"{'Bug', 'Ghost'}"
"{'Electric', 'Ghost'}"
"{'Ghost', 'Fighting'}"
{'Fairy'}
"{'Normal', 'Fairy'}"
"{'Psychic', 'Fairy'}"
"{'Fairy', 'Grass'}"
"{'Steel', 'Fairy'}"
"{'Water', 'Fairy'}"
"{'Dark', 'Fairy'}"
"{'Rock', 'Fairy'}"
"{'Bug', 'Fairy'}"
"{'Electric', 'Fairy'}"
"{'Flying', 'Fairy'}"
"{'Dragon', 'Fairy'}"
"{'Ghost', 'Fairy'}"
"{'Poison', 'Fairy'}"
{'Ice'}
"{'Normal', 'Ice'}"
"{'Water', 'Ice'}"
"{'Psychic', 'Ice'}"
"{'Dragon', 'Ice'}"
"{'Grass', 'Ice'}"
"{'Ground', 'Ice'}"
"{'Bug', 'Ice'}"
"{'Dark', 'Ice'}"
"{'Electric', 'Ice'}"
"{'Flying', 'Ice'}"
"{'Rock', 'Ice'}"
"{'Steel', 'Ice'}"
"{'Fairy', 'Ice'}"
"{'Fighting', 'Ice'}"
"{'Fire', 'Ice'}"
"{'Ghost', 'Ice'}"
